id,name,cuisine,rating,price_range,coordinates,address,phone,website,description,hours,image,family_friendly,amenities,owner_id,is_active,created_at,updated_at,city,slug
00c02b91-b5b7-4dbb-b5a8-c3daca204b69,Pho & Bun,Vietnamese,4.5,$$,"(51.5119378,-0.1317572)","76 Shaftesbury Ave, London W1D 6ND, UK",20 3230 1086,https://phoandbun.com/,Authentic Vietnamese street food including pho and bao burgers. Perfect for a pre or post show quick meal.,"Mon-Sat: 12:00-22:00, Sun: 12:00-22:00",https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/670f8f9227e5e1298d3ba371_pho%2520and%2520bun.png,"{""kidsMenu"":false,""playArea"":false,""highChairs"":false,""familyPackages"":false,""changingStation"":false,""quietEnvironment"":false}","[""Baby change in womens room"",""Vegetarian"",""Vegan"",""Good for groups""]",,true,2025-10-07 18:50:49.585057+00,2025-10-08 09:01:11.333336+00,London,pho-bun
02419492-d2ef-4a77-98f9-09f3ec955b4a,Bread Street Kitchen & Bar - St Paul's,European,4.4,$$,"(51.5133382,-0.0950071)","First Floor One, 10 New Change, London EC4M 9AJ, UK",020 3030 4050,https://www.gordonramsayrestaurants.com/bread-street-kitchen/st-pauls/book-a-table/,"A Modern European restaurant with something for everyone, including a delicious Beef Wellington for two. Kids (8 and under) eat free all day every day: one kids meal free with the purchase of an adult's meal.","Mon-Fri: 07:30-23:00, Sat: 11:30-23:00, Sun: 11:30-21:00",https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bd3c9b2d535f2f9e0a3_Bread%2520Street%2520St%2520Pauls.png,"{""kidsMenu"":false,""playArea"":false,""highChairs"":false,""familyPackages"":false,""changingStation"":false,""quietEnvironment"":false}","[""High chair"",""Baby change in unisex room"",""Kids menu"",""Wheelchair access"",""Vegetarian"",""Vegan"",""Good for groups"",""Free kids meal"",""Takeaway""]",,true,2025-10-07 18:33:15.138688+00,2025-10-08 09:01:11.333336+00,London,bread-street-kitchen-bar---st-pauls
02c2a8a1-c931-4460-92e4-cb3a033a6a75,Ciao Bella,Italian,4.5,$$,"(51.522993,-0.1189555)","86-90 Lamb's Conduit Street, London, WC1N 3LZ",0 20 7242 4119,http://www.ciaobellarestaurant.co.uk/,"Classic Italian dishes. They do half portions of pasta for kids, Next to Coram's Fields playground, a fully-fenced children only park. Closed on bank holidays.","Mon-Tue: 12:00-22:00, Wed-Sat: 12:00-22:30, Sun: 12:00-22:00",https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/670f901516d5c3aeaca5ffab_Ciao.jpeg,"{""kidsMenu"":false,""playArea"":false,""highChairs"":false,""familyPackages"":false,""changingStation"":false,""quietEnvironment"":false}","[""High chair"",""Baby change"",""Kids menu"",""Wheelchair access"",""Outdoor seating"",""Playground nearby"",""Vegetarian"",""Vegan"",""Takeaway"",""Dog friendly"",""Quick service""]",,true,2025-10-07 19:07:16.337445+00,2025-10-08 09:01:11.333336+00,London,ciao-bella
030a87d8-efd6-46c9-b0cd-780daa3d7f73,Dishoom Shoreditch,Indian,4.5,$$,"(51.524615,-0.077075)","7 Boundary Street, London, E2 7JE",0 20 7420 9324,https://www.dishoom.com/shoreditch?utm_source=google&utm_medium=organic&utm_campaign=Yext&utm_content=D2-Shoreditch&y_source=1_MjMwNDkyMDQtNzE1LWxvY2F0aW9uLndlYnNpdGU=,Buzzy destination for Indian street food in Bombay-style decor with 7 locations around London.,"Mon-Wed: 08:00-23:00, Thu-Fri: 08:00-00:00, Sat: 09:00-00:00, Sun: 09:00-23:00",https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/670f8ffcc5aa4d46dad0999e_Dishoom%2520shoreditch.png,"{""kidsMenu"":false,""playArea"":false,""highChairs"":false,""familyPackages"":false,""changingStation"":false,""quietEnvironment"":false}","[""High chair"",""Baby change"",""Kids menu"",""Wheelchair access"",""Outdoor seating"",""Vegetarian"",""Vegan"",""Halal"",""Takeaway"",""Dog friendly"",""Quick service""]",,true,2025-10-07 19:01:10.851204+00,2025-10-08 09:01:11.333336+00,London,dishoom-shoreditch
04763181-c5b1-45a5-b33d-d3345388f8d2,Rail House Victoria,European,4.5,$$,"(51.4974153,-0.1434145)","8 Sir Simon Milton Sq, London SW1E 5DJ, UK",0 20 3906 7950,https://www.riding.house/restaurant/victoria,Bustling contemporary brasserie with a varied menu of modern European & Asian dishes. With Event Spaces. Cash not accepted.,"Mon-Sat: 08:00-23:00, Sun: 09:00-17:00",https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40c28906a41b0b036b579_Rail%2520House%2520Victoria.webp,"{""kidsMenu"":false,""playArea"":false,""highChairs"":false,""familyPackages"":false,""changingStation"":false,""quietEnvironment"":false}","[""High chair"",""Baby change in unisex room"",""Kids menu"",""Wheelchair access"",""Outdoor seating"",""Vegetarian"",""Vegan"",""Good for groups"",""Takeaway"",""Dog friendly""]",,true,2025-10-07 18:41:01.534021+00,2025-10-08 09:01:11.333336+00,London,rail-house-victoria
0626ab3a-0cff-4139-8563-f7cfac3c00a7,Golden Dragon (Chinatown),Chinese,4.5,$$,"(51.5114322,-0.131632)","28-29 Gerrard Street, London, W1D 6JW",0 20 7734 1073,http://www.gdlondon.co.uk/,Authentic Chinese food including traditional Dim Sum and Cantonese dishes. Great for a pre or post theatre meal. Cash not accepted.,"Mon-Tue: 12:00-23:00, Wed: 12:00-22:30, Thu-Fri: 12:00-23:00, Sat-Sun: 11:00-22:30",https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/670f8fabf2a2c4bea4ccac0c_golden%2520dragon.jpeg,"{""kidsMenu"":false,""playArea"":false,""highChairs"":false,""familyPackages"":false,""changingStation"":false,""quietEnvironment"":false}","[""High chair"",""Baby change"",""Wheelchair access"",""Small plates"",""Vegetarian"",""Vegan"",""Takeaway"",""Quick service""]",,true,2025-10-07 18:55:51.27332+00,2025-10-08 09:01:11.333336+00,London,golden-dragon-chinatown
06f8039e-71b0-43e0-9e2d-2b4ebfb1996c,Rudy's Pizza Napoletana - Shoreditch,Italian,4.7,$$,"(51.524341,-0.0774149)","183 Shoreditch High St, London E1 6HU, UK",0 20 8165 9929,https://www.rudyspizza.co.uk/book,Buzzy pizza place perfect for the whole family. Try to save room for dessert. 7 locations around London. Also offers a bake at home option.,"Mon-Sat: 12:00-22:30, Sun: 12:00-20:30",https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40be8dc02f44ce846baf5_WhatsApp%2520Image%25202024-05-13%2520at%252013.54.53.jpeg,"{""kidsMenu"":false,""playArea"":false,""highChairs"":false,""familyPackages"":false,""changingStation"":false,""quietEnvironment"":false}","[""High chair"",""Baby change in unisex room"",""Wheelchair access"",""Vegetarian"",""Vegan"",""Good for groups"",""Takeaway"",""Dog friendly""]",,true,2025-10-07 18:36:13.126532+00,2025-10-08 09:01:11.333336+00,London,rudys-pizza-napoletana---shoreditch
0939597b-fc52-4a61-aaa8-358e27ea4ae9,Latino Hits,Latin American,4.5,$$,"(51.5510347,-0.0747835)","14 Stoke Newington Road, London, N16 7XN",0 20 3601 6496,,"Latin American restaurant, Menu is good for kids, cash not accepted.","Mon-Thu: 12:00-00:00, Fri-Sat: 12:00-02:00, Sun: 12:00-00:00",,"{""kidsMenu"":false,""playArea"":false,""highChairs"":false,""familyPackages"":false,""changingStation"":false,""quietEnvironment"":false}","[""Baby change"",""Outdoor seating"",""Small plates"",""Vegetarian"",""Vegan"",""Takeaway"",""Dog friendly"",""Quick service""]",,false,2025-10-07 19:01:10.851204+00,2025-10-08 09:01:11.333336+00,London,latino-hits
0a19af9a-d661-4938-8c6e-a09732d1e7ec,The Petersham Wine Bar & Deli,Deli,4.4,$$,"(51.5115618,-0.1248667)","31 King St, London WC2E 9DS, UK",0 20 7305 7676,https://thepetershamwinebar.com/,"A deli counter offering seasonal quiches, sandwiches, salads, and desserts, with organic coffee and loose-leaf teas.","Mon-Sat: 12:00-20:30, Sun: 11:30-18:00",https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/670f8f91678d4dbffc8f8448_petersham%2520wine%2520and%2520deli.png,"{""kidsMenu"":false,""playArea"":false,""highChairs"":false,""familyPackages"":false,""changingStation"":false,""quietEnvironment"":false}","[""High chair"",""Baby change in womens room"",""Outdoor seating"",""Vegetarian"",""Vegan"",""Good for groups"",""Dog friendly""]",,true,2025-10-07 18:50:49.585057+00,2025-10-08 09:01:11.333336+00,London,the-petersham-wine-bar-deli
0beb5071-93b6-4522-8a17-582db46422fa,Shake Shack Mansion House,American,4.5,$$,"(51.5126116,-0.0938557)","45 Cannon Street, London, EC4M 9AL",0 1923 886210,http://www.shakeshack.co.uk/locations/london/mansion-house/?utm_source=gmb&utm_medium=organic&utm_campaign=mansion_house,an American chain known for its gourmet burgers & frozen custard shakes. Dog-friendly. Menu is good for kids.,"Mon-Wed: 08:00-00:00, Thu-Sat: 08:00-01:00, Sun: 08:00-23:00",,"{""kidsMenu"":false,""playArea"":false,""highChairs"":false,""familyPackages"":false,""changingStation"":false,""quietEnvironment"":false}","[""High chair"",""Baby change"",""Wheelchair access"",""Takeaway"",""Quick service""]",,false,2025-10-07 19:07:16.337445+00,2025-10-08 09:01:11.333336+00,London,shake-shack-mansion-house
