Name,Address Line 1,Address Line 2,City,State,Postcode,Country,Phone,Email,URL,Visible,Filters,Hours ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Timezone,Marker ID,Type,Slug,Image,Facebook,X / Twitter,Instagram,Yelp,Full Address,Lat,Lng,StoreRocket ID,Field: Details,Field: Google maps link,Field: Item ID,Button: View restaurant
Solar Sisters - Zero Waste - Refill - Café,Solar Sisters - Zero Waste - Refill - Café,Solar Sisters - Zero Waste - Refill - Café,Guildford,England,GU1 4AU,GB,,,https://www.solarsisters.uk/,0,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Small sharing plates, Vegetarian, Vegan, Fun / Quirky, Cosy, Relaxed, Good for groups, Takeaway, Dog friendly, Friendly staff, Healthy, Quick service, A/C",,09:30-17:30,09:30-17:30,09:30-17:30,09:30-17:30,09:30-17:30,09:30-17:30,11:00-17:00,Europe/London,,FALSE,solar-sister-cafe,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/670f8f4cb127b9b6e35c92e1_Color%2520logo%2520with%2520background%25201%2520(2).png,,,,,"86 North St, Guildford GU1 4AU, UK",51.2367316,-0.5708077,64Ke5YXd8g,"A plant-based menu for breakfast, lunch, and afternoon tea. You can also grab a quick coffee or use the refill shop to stock up on the essentials. They also host events.  ",https://maps.app.goo.gl/M4RgcKgA3rxjZVeY7,66e40bc5ed785208ce65f6a5,https://thenugget.app/template/location/solar-sister-cafe
Brags and Brams,Brags and Brams,Brags and Brams,London,,,GB,,,http://www.bragsandbrams.com/,1,"High chair, Baby change in women's room, Kids' menu, Wheelchair access, Playground nearby, Vegetarian, Vegan, Dairy Free, Relaxed, Buzzy, Good for groups, Takeaway, Dog friendly, Friendly staff, Healthy, Quick service, A/C",,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,Europe/London,,FALSE,brags-and-brams-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bc62047f2460f93c27e_2%2BA07I8846%2Bweb.jpeg,,,,,265 Hackney Road,51.5311982,-0.0685801,yJznOPrXJ6,"Super family-friendly brunch/lunch spot with fun kids' meal options. Combine with Haggerston Park, Hackney City Farm, or the Young V&A Museum. You can also grab a coffee and pastry from the counter to-go.",https://maps.app.goo.gl/TpcpzeGXfGSXUpCN6,66e40bc62047f2460f93c28d,https://thenugget.app/template/location/brags-and-brams-london-england
"Coppa Club, Putney","Coppa Club, Putney","Coppa Club, Putney",London,,,GB,,,https://www.coppaclub.co.uk/between-bridges/?utm_source=google&utm_medium=local&utm_campaign=glocal_putney,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Outdoor seating, Small sharing plates, Vegetarian, Vegan, Relaxed, Buzzy, Good for groups, Takeaway, Healthy, A/C",,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-22:00,Europe/London,,FALSE,coppa-club-putney-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bc72982a7c2088ff2a7_Coppa%2520Club%2520Putney.png,,,,,29 Brewhouse Lane,51.4650751,-0.2125604,B8eAByeE89,"Gorgeous location on the river, with all day dining and also 3 private igloos for extra special dining.  📸 Coppa Club Putney",https://maps.app.goo.gl/txGFkThv549267ZT8,66e40bc72982a7c2088ff376,https://thenugget.app/template/location/coppa-club-putney-london-england
Riding House Fitzrovia,Riding House Fitzrovia,Riding House Fitzrovia,London,England,W1W 7PQ,GB,,,https://www.riding.house/restaurant/fitzrovia,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Outdoor seating, Small sharing plates, Vegetarian, Vegan, Gluten free, Cosy, Buzzy, Posh, Good for groups, Dog friendly, Friendly staff, Healthy, A/C",,08:00-21:30,08:00-22:30,08:00-22:30,08:00-00:00,08:00-00:00,09:00-00:00,09:00-17:00,Europe/London,,FALSE,riding-house-fitzrovia-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bc8094c2560127ae1b0_Riding%2520house%2520fitzrovia.jpeg,,,,,"43-51 Great Titchfield St., London W1W 7PQ, UK",51.5183145,-0.1406117,B4Le5LYZJe,All day dining in Fitzrovia with something on the menu for everyone.  📸 Riding House Fitzrovia,https://maps.app.goo.gl/TUEGgLAEmQBkuNVF8,66e40bc8094c2560127ae1b7,https://thenugget.app/template/location/riding-house-fitzrovia-london-england
German Gymnasium Grand Cafe,German Gymnasium Grand Cafe,German Gymnasium,London,,,GB,,,https://www.germangymnasium.com/dining-areas/grand-cafe/,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Outdoor seating, Small sharing plates, Vegetarian, Vegan, Buzzy, Posh, Good for groups, Friendly staff, A/C",,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,10:00-22:00,10:00-21:00,Europe/London,,FALSE,german-gymnasium-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bc95b1e61411ba5decf_IMG_2701-fotor-20240604171823.jpeg,,,,,"German Gymnasium, London",51.5323757,-0.1254543,r85dwMaZJN,"Buzzy all day German dining with schnitzel, burgers, and plenty of vegan & vegetarian options. Great place for a multi-generational meet up or celebration. ",https://maps.app.goo.gl/JdW25taf6ppFjzsL9,66e40bc95b1e61411ba5dedc,https://thenugget.app/template/location/german-gymnasium-london-england
Bill's Guildford Restaurant,Bill's Guildford Restaurant,Bill's Guildford Restaurant,Guildford,England,GU1 4AE,GB,,,https://bills-website.co.uk/restaurants/guildford/?utm_source=LocalGoogle&utm_medium=Organic,0,"High chair, Baby change in women's room, Kids' menu, Wheelchair access, Outdoor seating, Small sharing plates, Vegetarian, Vegan, Cosy, Relaxed, Good for groups, Dog friendly, Friendly staff, Healthy, Kids' colouring, Quick service, A/C",,08:00-22:00,08:00-22:00,08:00-22:00,08:00-23:00,08:00-23:00,08:00-23:00,09:00-22:00,Europe/London,,FALSE,bill-s-guildford-restaurant-guildford-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/683039ff16293d30fe5e62c1_66eb1c1fab7251b944e0284c_66e40bcc79566cf668095516_Color%25252520logo%25252520with%25252520background%252525201%25252520(2).png,,,,,"1 Angel Gate, Guildford GU1 4AE, UK",51.2356110,-0.5737886,KpDE5mXA4d,"Contemporary European chain dishing up separate breakfast, afternoon tea, lunch and dinner menus.",https://maps.app.goo.gl/ge8KykgNVMzyLVx18,66e40bcd79566cf6680956ab,https://thenugget.app/template/location/bill-s-guildford-restaurant-guildford-england
Sticks'n'Sushi Wimbledon,Sticks'n'Sushi Wimbledon,58 Wimbledon Hill Road,London,England,SW19 7PA,GB,020 3141 8800,,https://sticksnsushi.com/en/restaurants/london/wimbledon,1,"High chair, Baby change in women's room, Kids' menu, Wheelchair access, Small sharing plates, Vegetarian, Vegan, Gluten free, Fun / Quirky, Cosy, Relaxed, Buzzy, Good for groups, Takeaway, Friendly staff, Healthy, Quick service, A/C",,11:30-22:00,11:30-10:00,11:30-23:00,11:30-23:00,11:30-23:00,11:30-23:00,11:30-23:00,Europe/London,,FALSE,sticksnsushi-966f0,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bcebe0ec2f5f934d505_sticksnsushi_wimbledon_restaurant-05_1620x1080_ny.png,,,,,"58 Wimbledon Hill Rd, London SW19 7PA, UK",51.4225872,-0.2094116,DJkEaVK0pO,"Japanese restaurant based on a renowned Danish concept, offering sushi and grilled yakitori skewers. 10 locations around London.  📸 Sticks'n'Sushi Wimbledon",https://maps.app.goo.gl/dKgvSiaFmvL4e3R59,66e40bcebe0ec2f5f934d525,https://thenugget.app/template/location/sticksnsushi-966f0
Barbican Kitchen,Barbican Kitchen,Silk Street,London,England,EC2Y 8DS,GB,0 20 7638 4141,,https://www.benugo.com/partnerships/public-spaces/par/barbican/barbican-kitchen,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Outdoor seating, Playground nearby, Tourist attraction nearby, Vegetarian, Vegan, Cosy, Relaxed, Buzzy, Good for groups, Free kids meal, Takeaway, Friendly staff, Healthy, Quick service, A/C",,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,Europe/London,,FALSE,barbican-kitchen-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bd0c9983e0760bf645a_WhatsApp%2520Image%25202024-05-10%2520at%252016.57.46.jpeg,,,,,"Barbican Kitchen, Barbican Centre, Silk St, Barbican, London EC2Y 8DS, UK",51.5196026,-0.0932296,k8P7Z7ymJb,"Deli/cafe with counter service for international dishes, cakes, and salads. Combine with a show or movie at the Barbican and nearby Fortune Street Park Playground. Baby change on right at entrance to cafe.",https://maps.app.goo.gl/Wj2JQiK1tMtJ8MkUA,66e40bd1c9983e0760bf688e,https://www.thenugget.app/template/location/barbican-kitchen-london-england
Bread Street Kitchen & Bar - St Paul's,Bread Street Kitchen & Bar - St Paul's,10 New Change,London,England,EC4M 9AJ,GB,020 3030 4050,,https://www.gordonramsayrestaurants.com/bread-street-kitchen/st-pauls/book-a-table/,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Small sharing plates, Vegetarian, Vegan, Relaxed, Good for groups, Free kids meal, Takeaway, Friendly staff, Healthy, Quick service, A/C",,07:30-23:00,07:30-23:00,07:30-23:00,07:30-23:00,07:30-23:00,11:30-23:00,11:30-21:00,Europe/London,,FALSE,bread-street-kitchen-bar-st-paul-s-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bd3c9b2d535f2f9e0a3_Bread%2520Street%2520St%2520Pauls.png,,,,,"First Floor One, 10 New Change, London EC4M 9AJ, UK",51.5133382,-0.0950071,dJEOmOY5pW,"A Modern European restaurant with something for everyone, including a delicious Beef Wellington for two. Kids (8 and under) eat free all day every day: one kids meal free with the purchase of an adult's meal. They have 6 locations around London. 📸 Bread Street",https://maps.app.goo.gl/yEMxv56e1GBmBndh8,66e40bd3c9b2d535f2f9e0a7,https://thenugget.app/template/location/bread-street-kitchen-bar-st-paul-s-london-england
Bread Street Kitchen & Bar - The City,Bread Street Kitchen & Bar - The City,13 South Place,London,England,EC2M 7EB,GB,020 7499 0125,,https://www.gordonramsayrestaurants.com/bread-street-kitchen/south-place/,1,"High chair, Baby change in women's room, Kids' menu, Wheelchair access, Small sharing plates, Vegetarian, Vegan, Cosy, Relaxed, Buzzy, Posh, Good for groups, Free kids meal, Takeaway, Friendly staff, Healthy, Quick service, A/C",,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,closed,closed,Europe/London,,FALSE,bread-street-kitchen-bar-the-city-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bd403f5ac3aa613e24a_IMG_7640.jpeg,,,,,"11, 13, 14, 13 South Pl, London EC2M 7EB, UK",51.5188487,-0.0868731,wpZnOnBOpA,"A Modern European restaurant with something for everyone, including a delicious Beef Wellington for two. Kids (8 and under) eat free all day every day: one kids meal free with the purchase of an adult's meal. They have 6 locations around London.",https://maps.app.goo.gl/hmL8m2b31ciEgvVk8,66e40bd403f5ac3aa613e265,https://thenugget.app/template/location/bread-street-kitchen-bar-the-city-london-england
